18:59:38.098 [main] INFO  z.s.StockDividendProjectStudyApplication - Starting StockDividendProjectStudyApplication using Java 11.0.16.1 on gim-ugjong-ui-MacBookAir.local with PID 83692 (/Users/gim-ugjong/Downloads/stock-dividend-project-study/build/classes/java/main started by gim-ugjong in /Users/gim-ugjong/Downloads/stock-dividend-project-study)
18:59:38.512 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@58d6e55a' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
18:59:38.518 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
18:59:38.661 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
18:59:38.666 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
18:59:38.666 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
18:59:38.666 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
18:59:38.698 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
18:59:38.701 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 588 ms
18:59:38.719 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
18:59:38.763 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
18:59:38.766 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:dayone'
18:59:38.842 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
18:59:38.862 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.32.Final
18:59:38.907 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
18:59:38.939 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
18:59:39.121 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
18:59:39.124 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
18:59:39.346 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
18:59:39.493 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/h2-console/**'] with []
18:59:39.513 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5b827796, org.springframework.security.web.context.SecurityContextPersistenceFilter@6b286640, org.springframework.security.web.header.HeaderWriterFilter@7c0035dd, org.springframework.security.web.authentication.logout.LogoutFilter@2b9bbaa8, zerobase.stockdividendprojectstudy.security.JwtAuthenticationFilter@434b2e0c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@628aea61, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@19542115, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@27c827ec, org.springframework.security.web.session.SessionManagementFilter@167bae0b, org.springframework.security.web.access.ExceptionTranslationFilter@2041c9a3, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@68b3de47]
18:59:39.746 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
18:59:39.752 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
18:59:39.759 [main] INFO  z.s.StockDividendProjectStudyApplication - Started StockDividendProjectStudyApplication in 1.835 seconds (JVM running for 2.094)
19:00:00.022 [ThreadPoolTaskScheduler-1] INFO  z.s.scheduler.ScraperScheduler - scraping scheduler is started
19:00:15.758 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
19:00:15.758 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
19:00:15.759 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
19:01:00.009 [ThreadPoolTaskScheduler-1] INFO  z.s.scheduler.ScraperScheduler - scraping scheduler is started
19:01:57.586 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
19:01:57.589 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
19:01:57.592 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
